date,spy_close,vix,hyg,dxy,gold,copper,eem,skew,composite_score,flow_regime,regime_signal,return_5d,return_10d,return_20d
2014-04-25,186.2899932861328,14.0600004196167,94.23999786376953,79.7699966430664,125.43000030517578,20.899999618530273,40.81999969482422,121.94999694824219,6.9,risk_on,STRONG_HOLD,0.95,0.9,2.18
2014-04-28,186.8800048828125,13.970000267028809,94.22000122070312,79.68000030517578,124.87999725341797,20.989999771118164,41.02000045776367,123.69000244140625,8,risk_on,STRONG_HOLD,0.82,1.56,2.48
2014-04-29,187.75,13.710000038146973,94.36000061035156,79.80999755859375,124.86000061035156,20.790000915527344,41.40999984741211,123.44000244140625,8,risk_on,STRONG_HOLD,-0.52,1.18,1.93
2014-04-30,188.30999755859375,13.40999984741211,94.33999633789062,79.48999786376953,124.22000122070312,20.450000762939453,41.33000183105469,124.52999877929688,8,risk_on,STRONG_HOLD,-0.23,0.4,2.16
2014-05-01,188.3300018310547,13.25,93.81999969482422,79.52999877929688,123.80000305175781,20.450000762939453,41.380001068115234,124.9000015258789,8,risk_on,STRONG_HOLD,-0.35,-0.49,2.31
2014-05-02,188.05999755859375,12.90999984741211,94.04000091552734,79.5199966430664,125.05999755859375,20.739999771118164,41.61000061035156,124.12999725341797,8,risk_on,STRONG_HOLD,-0.05,-0.01,2.57
2014-05-05,188.4199981689453,13.289999961853027,94.0,79.48999786376953,126.22000122070312,20.68000030517578,41.380001068115234,123.55999755859375,8,risk_on,STRONG_HOLD,0.73,0.17,2.32
2014-05-06,186.77999877929688,13.800000190734863,94.0199966430664,79.13999938964844,125.9800033569336,20.649999618530273,41.56999969482422,121.18000030517578,8,risk_on,STRONG_HOLD,1.7,0.41,3.43
2014-05-07,187.8800048828125,13.399999618530273,94.16000366210938,79.22000122070312,124.16999816894531,20.520000457763672,41.790000915527344,123.2699966430664,8,risk_on,STRONG_HOLD,0.63,0.67,3.5
2014-05-08,187.67999267578125,13.430000305175781,94.13999938964844,79.43000030517578,124.16999816894531,20.65999984741211,41.689998626708984,123.93000030517578,8,risk_on,STRONG_HOLD,-0.15,1.02,4.1
2014-05-09,187.9600067138672,12.920000076293945,94.2300033569336,79.9000015258789,124.0999984741211,20.739999771118164,41.619998931884766,125.5999984741211,8,risk_on,STRONG_HOLD,0.05,1.27,4.05
2014-05-12,189.7899932861328,12.229999542236328,94.33000183105469,79.9000015258789,124.94000244140625,21.15999984741211,42.31999969482422,125.27999877929688,8,risk_on,STRONG_HOLD,-0.55,0.91,3.06
2014-05-13,189.9600067138672,12.130000114440918,94.4800033569336,80.13999938964844,124.5999984741211,21.059999465942383,42.47999954223633,124.30000305175781,8,risk_on,STRONG_HOLD,-1.27,0.75,2.61
2014-05-14,189.05999755859375,12.170000076293945,94.52999877929688,80.06999969482422,125.80999755859375,21.34000015258789,42.779998779296875,122.75,8,risk_on,STRONG_HOLD,0.04,1.75,2.37
2014-05-15,187.39999389648438,13.170000076293945,94.44000244140625,80.0,124.7699966430664,21.170000076293945,42.380001068115234,123.5999984741211,8,risk_on,STRONG_HOLD,1.17,2.82,3.59
2014-05-16,188.0500030517578,12.4399995803833,94.62999725341797,80.04000091552734,124.5,21.18000030517578,42.939998626708984,127.2300033569336,8,risk_on,STRONG_HOLD,1.22,2.58,3.32
2014-05-19,188.74000549316406,12.420000076293945,94.7699966430664,79.98999786376953,124.58000183105469,21.18000030517578,42.939998626708984,128.17999267578125,8,risk_on,STRONG_HOLD,1.47,2.15,3.23
2014-05-20,187.5500030517578,12.960000038146973,94.6500015258789,80.04000091552734,124.69000244140625,21.18000030517578,42.59000015258789,127.47000122070312,8,risk_on,STRONG_HOLD,2.04,3.01,4.64
2014-05-21,189.1300048828125,11.90999984741211,94.63999938964844,80.0999984741211,124.38999938964844,21.010000228881836,42.91999816894531,123.88999938964844,8,risk_on,STRONG_HOLD,1.71,2.81,3.89
2014-05-22,189.58999633789062,12.029999732971191,94.70999908447266,80.25,124.66999816894531,21.1299991607666,43.220001220703125,123.68000030517578,8,risk_on,STRONG_HOLD,1.63,3.05,3.35
2014-05-23,190.35000610351562,11.359999656677246,94.73999786376953,80.38999938964844,124.51000213623047,21.329999923706055,43.13999938964844,125.12999725341797,8,risk_on,STRONG_HOLD,1.34,2.75,2.91
2014-05-27,191.52000427246094,11.510000228881836,94.83000183105469,80.3499984741211,121.8499984741211,21.309999465942383,42.77000045776367,123.63999938964844,8,risk_on,STRONG_HOLD,0.67,2.13,1.66
2014-05-28,191.3800048828125,11.680000305175781,94.86000061035156,80.56999969482422,121.19999694824219,21.479999542236328,43.02000045776367,124.18000030517578,8,risk_on,STRONG_HOLD,0.95,1.85,2.19
2014-05-29,192.3699951171875,11.569999694824219,94.94999694824219,80.48999786376953,120.94000244140625,21.479999542236328,43.13999938964844,125.80999755859375,8,risk_on,STRONG_HOLD,1.08,0.61,1.6
2014-05-30,192.67999267578125,11.399999618530273,95.05000305175781,80.37000274658203,120.43000030517578,21.09000015258789,42.54999923706055,124.2300033569336,8,risk_on,STRONG_HOLD,1.4,0.75,1.63
2014-06-02,192.89999389648438,11.579999923706055,94.31999969482422,80.63999938964844,119.69999694824219,21.09000015258789,42.68000030517578,123.33000183105469,8,risk_on,STRONG_HOLD,1.39,0.72,1.46
2014-06-03,192.8000030517578,11.869999885559082,94.33000183105469,80.55000305175781,120.01000213623047,21.09000015258789,42.91999816894531,121.79000091552734,8,risk_on,STRONG_HOLD,1.45,1.05,2.19
2014-06-04,193.19000244140625,12.079999923706055,94.33000183105469,80.66999816894531,119.76000213623047,20.790000915527344,42.68000030517578,121.4800033569336,8,risk_on,STRONG_HOLD,0.9,1.59,2.09
2014-06-05,194.4499969482422,11.680000305175781,94.55999755859375,80.37000274658203,120.66000366210938,20.790000915527344,43.130001068115234,122.20999908447266,8,risk_on,STRONG_HOLD,-0.47,1.04,1.93
2014-06-06,195.3800048828125,10.729999542236328,94.83000183105469,80.41000366210938,120.61000061035156,20.6200008392334,43.560001373291016,122.87999725341797,8,risk_on,STRONG_HOLD,-0.64,0.29,1.09
2014-06-09,195.5800018310547,11.149999618530273,94.94000244140625,80.6500015258789,120.6500015258789,20.479999542236328,43.720001220703125,124.66999816894531,8,risk_on,STRONG_HOLD,-0.66,0.15,0.34
2014-06-10,195.60000610351562,10.989999771118164,94.88999938964844,80.81999969482422,121.38999938964844,20.690000534057617,43.95000076293945,125.37999725341797,8,risk_on,STRONG_HOLD,-0.39,-0.46,0.78
2014-06-11,194.9199981689453,11.600000381469727,94.9000015258789,80.79000091552734,121.41000366210938,20.690000534057617,43.79999923706055,126.70999908447266,8,risk_on,STRONG_HOLD,0.69,0.34,0.73
2014-06-12,193.5399932861328,12.5600004196167,94.83999633789062,80.58000183105469,122.63999938964844,20.440000534057617,43.59000015258789,127.81999969482422,8,risk_on,STRONG_HOLD,1.52,0.98,1.59
