date,ticker,spot_price,net_gex_b,vix,zero_gamma,call_wall,put_wall,peak_gex_strike,max_pain,pc_ratio,spy_200ma,spy_above_200ma,spy_rsi_14,vix_3m,vix_term_spread,vix_term_structure,skew_index,fear_score,bull_score,bear_score,score_label,qqq_spot,qqq_gex_b,qqq_fear_score,qqq_bear_score,qqq_bull_score,qqq_divergence,signal,l1_context,yield_10y,vix9d,vix9d_vix_ratio,gold,dxy,tlt,hyg,copper,oil,eem,xlre,flow_regime,flow_score,regime_signal,composite_score
2026-03-30,SPY,629.35,-3.5,25.35,,,,,,,661.79,False,22.8,29.13,-1.48,backwardation,142.23,6,0,,Fear building — watch for entry,558.28,,,,,Aligned — no divergence,RED Watch - GEX deeply neg,SPY BELOW 200MA (downtrend warning) | RSI oversold (22.8) | VIX in backwardation (stress elevated) | SKEW elevated (142.23) - tail hedging active,4.342,30.57,1.206,414.58,100.51,86.78,78.81,33.59,129.83,54.75,40.21,mild_risk_on,1,,
2026-04-29,SPY,713.48,-6.28,18.81,704.24,715.0,710.0,710.0,695.0,2.17,669.98,True,77.59,21.19,2.38,contango,141.88,3,3,,Mixed — no edge,661.57,,,,,Aligned — no divergence,RED Watch - GEX deeply neg VIX rising,SPY above 200MA (uptrend intact) | RSI overbought (77.59) | VIX in contango (calm) | SKEW elevated (141.88) - tail hedging active,4.418,17.61,0.936,417.41,98.96,85.7,80.13,35.97,150.63,62.69,43.64,risk_on,4,,
2026-04-30,SPY,719.00,9.98,16.89,707.68,720.0,700.0,720.0,695.0,2.13,670.46,True,80.62,20.08,3.19,contango,143.33,1,6,,Positive regime — hold,667.74,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI overbought (80.62) | VIX in contango (calm) | SKEW elevated (143.33) - tail hedging active,4.39,14.37,0.851,423.66,98.06,85.62,80.38,36.53,147.09,63.99,44.4,risk_on,4,,
2026-05-01,SPY,720.34,2.63,16.99,713.15,725.0,700.0,725.0,695.0,2.18,670.94,True,79.1,20.37,3.38,contango,141.38,1,5,,Mild bull — neutral,674.15,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI overbought (79.1) | VIX in contango (calm) | SKEW elevated (141.38) - tail hedging active,4.378,14.15,0.833,423.18,98.16,85.61,80.06,36.23,142.8,64.13,44.32,risk_on,4,,
2026-05-04,SPY,717.65,-2.89,18.29,716.22,725.0,700.0,700.0,700.0,2.23,671.39,True,71.95,21.05,2.76,contango,141.74,2,3,,Mixed — no edge,672.88,,,,,Aligned — no divergence,AMBER Caution - neg GEX watch VIX,SPY above 200MA (uptrend intact) | RSI overbought (71.95) | VIX in contango (calm) | SKEW elevated (141.74) - tail hedging active,4.446,16.6,0.908,414.71,98.37,84.96,79.8,35.58,147.61,64.1,44.08,risk_on,4,,
2026-05-05,SPY,724.53,8.18,17.38,716.68,725.0,700.0,724.0,700.0,2.21,671.87,True,72.09,20.82,3.44,contango,138.74,1,6,,Positive regime — hold,681.61,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI overbought (72.09) | VIX in contango (calm) | SKEW elevated (138.74) - tail hedging active,4.416,14.64,0.842,418.27,98.44,85.43,79.92,36.33,144.17,65.4,44.17,risk_on,4,,
2026-05-06,SPY,733.57,9.98,17.39,720.71,734.0,700.0,734.0,700.0,2.22,672.4,True,75.83,20.57,3.18,contango,135.42,1,6,,Positive regime — hold,695.77,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI overbought (75.83) | VIX in contango (calm) | SKEW elevated (135.42) - tail hedging active,4.356,14.76,0.849,430.96,98.02,86.08,80.16,37.54,133.95,67.49,44.74,risk_on,4,,
2026-05-07,SPY,730.04,2.84,17.08,726.58,732.0,700.0,732.0,705.0,2.21,672.91,True,69.13,20.35,3.27,contango,136.11,1,6,,Positive regime — hold,694.94,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI neutral (69.13) | VIX in contango (calm) | SKEW elevated (136.11) - tail hedging active,4.392,14.56,0.852,431.68,98.07,85.65,79.86,37.35,134.97,66.59,44.4,risk_on,4,,
2026-05-08,SPY,737.61,12.83,17.19,727.68,738.0,710.0,738.0,705.0,2.16,673.43,True,73.82,20.5,3.31,contango,138.21,1,7,,Positive regime — hold,711.23,,,,,Aligned — no divergence,GREEN Strong hold - GEX high vol suppressed,SPY above 200MA (uptrend intact) | RSI overbought (73.82) | VIX in contango (calm) | SKEW elevated (138.21) - tail hedging active,4.364,14.21,0.827,433.77,97.9,86.08,80.14,38.27,133.59,67.94,44.41,risk_on,4,,
2026-05-11,SPY,738.97,6.70,18.38,732.48,739.0,710.0,739.0,710.0,2.21,673.95,True,80.52,21.24,2.86,contango,140.21,1,5,,Mild bull — neutral,713.29,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI overbought (80.52) | VIX in contango (calm) | SKEW elevated (140.21) - tail hedging active,4.41,16.89,0.919,434.65,97.96,85.56,79.98,39.39,138.66,67.89,44.57,risk_on,4,,
2026-05-12,SPY,737.41,-1.31,17.99,734.74,740.0,737.0,737.0,710.0,2.19,674.46,True,76.09,21.04,3.05,contango,139.41,2,4,,Mild bull — neutral,707.24,,,,,Aligned — no divergence,AMBER Caution - neg GEX watch VIX,SPY above 200MA (uptrend intact) | RSI overbought (76.09) | VIX in contango (calm) | SKEW elevated (139.41) - tail hedging active,4.463,16.34,0.908,432.93,98.3,84.99,79.87,40.44,144.3,65.82,44.58,risk_on,4,,
