date,ticker,spot_price,rsi_14,ma_200,above_200ma,rsi_pct,iv_pct,pc_pct,iv_current,pc_ratio,gex_b,gex_regime,zero_gamma,call_wall,put_wall,opportunity_score,signal,signal_detail
2026-06-26,NVDA,192.53,38.73,190.64,True,15.9,14,88.9,37.11,0.79,0.1938,positive,186.84,220.0,185.0,8,STRONG BUY — macro dip on intact name,"RSI very oversold (bottom 16% of own history) | Options cheap (IV bottom 14% of own history) — good entry cost | Heavy put buying (P/C top 11% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-26,GOOGL,337.39,29.31,313.85,True,7.9,64,55.6,32.7,0.71,-0.1093,negative,336.39,400.0,335.0,5,"WATCH — setup building, not quite ready","RSI extremely oversold (bottom 8% of own history) | GEX negative — unstable, watch for stabilization | Above 200MA — uptrend intact, dip is buyable"
2026-06-26,META,550.25,35.08,650.02,False,27.0,61,33.3,34.81,0.44,0.0351,positive,531.65,750.0,550.0,2,"NEUTRAL — no edge, wait","RSI oversold (bottom 27% of own history) | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-26,AMZN,232.69,39.48,232.77,False,30.2,59,44.4,32.39,0.65,0.2338,positive,219.64,250.0,220.0,2,"NEUTRAL — no edge, wait","RSI oversold (bottom 30% of own history) | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-26,TSLA,379.71,45.75,417.96,False,42.9,35,11.1,49.57,0.67,0.3217,positive,363.64,400.0,350.0,2,"NEUTRAL — no edge, wait","Options moderately priced (IV 35th pct) | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-29,AAPL,281.74,35.35,269.73,True,10.9,48,100.0,24.96,0.69,0.5344,positive,265.08,300.0,275.0,6,"BUY — oversold, good loading zone","RSI very oversold (bottom 11% of own history) | Heavy put buying (P/C top 0% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-29,MSFT,368.57,31.47,447.33,False,20.3,96,80.0,37.27,0.45,0.3418,positive,351.68,500.0,350.0,4,"WATCH — setup building, not quite ready","RSI oversold (bottom 20% of own history) | Options expensive (IV top 4% of history) — fear priced in, wait | Heavy put buying (P/C top 20% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-29,NVDA,194.97,37.5,190.73,True,10.9,7,100.0,35.54,0.8,0.7293,positive,188.52,195.0,185.0,8,STRONG BUY — macro dip on intact name,"RSI very oversold (bottom 11% of own history) | Options cheap (IV bottom 7% of own history) — good entry cost | Heavy put buying (P/C top 0% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-29,GOOGL,353.65,44.4,314.42,True,40.6,68,10.0,33.3,0.66,0.3529,positive,333.26,400.0,320.0,2,"NEUTRAL — no edge, wait","GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-29,META,562.6,42.3,649.07,False,50.0,63,20.0,35.13,0.43,0.413,positive,533.95,750.0,550.0,1,AVOID — not oversold or fear is company-specific,"GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-29,AMZN,240.14,46.37,232.82,True,40.6,63,30.0,32.91,0.64,0.6141,positive,221.95,250.0,220.0,2,"NEUTRAL — no edge, wait","GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-29,TSLA,411.84,50.98,418.28,False,51.6,10,30.0,43.57,0.68,0.7545,positive,365.69,420.0,350.0,3,"NEUTRAL — no edge, wait","Options cheap (IV bottom 10% of own history) — good entry cost | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-30,AAPL,289.36,49.07,270.03,True,29.2,48,81.8,24.96,0.68,0.9117000000000001,positive,267.94,300.0,270.0,5,"WATCH — setup building, not quite ready","RSI oversold (bottom 29% of own history) | Heavy put buying (P/C top 18% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-30,MSFT,373.02,36.5,446.69,False,29.2,96,54.5,37.27,0.44,0.5157999999999999,positive,357.56,500.0,350.0,2,"NEUTRAL — no edge, wait","RSI oversold (bottom 29% of own history) | Options expensive (IV top 4% of history) — fear priced in, wait | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-30,NVDA,200.09,43.18,190.84,True,27.7,7,54.5,35.54,0.78,1.1,positive,190.4,200.0,180.0,5,"WATCH — setup building, not quite ready","RSI oversold (bottom 28% of own history) | Options cheap (IV bottom 7% of own history) — good entry cost | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-30,GOOGL,357.37,46.13,315.01,True,44.6,68,18.2,33.3,0.66,0.5413,positive,336.98,360.0,320.0,2,"NEUTRAL — no edge, wait","GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-30,META,563.29,42.8,648.13,False,52.3,63,27.3,35.13,0.43,0.3615,positive,540.93,750.0,550.0,1,AVOID — not oversold or fear is company-specific,"GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-30,AMZN,238.34,45.87,232.86,True,38.5,63,36.4,32.91,0.64,0.4333,positive,221.68,250.0,220.0,2,"NEUTRAL — no edge, wait","GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-30,TSLA,420.6,58.33,418.54,True,64.6,10,63.6,43.57,0.7,0.9424,positive,375.43,420.0,350.0,5,"WATCH — setup building, not quite ready","Options cheap (IV bottom 10% of own history) — good entry cost | Elevated put buying (P/C 64th pct) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-01,AAPL,294.38,52.05,270.33,True,31.8,48,41.7,24.96,0.67,1.5,positive,265.16,295.0,240.0,3,"NEUTRAL — no edge, wait","RSI oversold (bottom 32% of own history) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-01,MSFT,384.28,44.45,446.06,False,45.5,96,58.3,37.27,0.44,1.1,positive,356.35,385.0,350.0,1,AVOID — not oversold or fear is company-specific,"Options expensive (IV top 4% of history) — fear priced in, wait | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-07-01,NVDA,197.58,47.38,190.94,True,37.9,7,58.3,35.54,0.78,0.9028999999999999,positive,189.73,200.0,180.0,4,"WATCH — setup building, not quite ready","Options cheap (IV bottom 7% of own history) — good entry cost | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
